card_id,user_id,created_at,card_type,status,plan_type
card_000001,u_00001,2024-10-21T00:00:00,virtual,active,smart
card_000002,u_00001,2024-10-18T00:00:00,physical,active,smart
card_000003,u_00002,2023-01-27T00:00:00,virtual,active,free
card_000004,u_00003,2023-09-12T00:00:00,virtual,active,free
card_000005,u_00004,2023-05-25T00:00:00,virtual,blocked,free
card_000006,u_00005,2024-11-27T00:00:00,virtual,blocked,free
card_000007,u_00006,2024-08-28T00:00:00,virtual,active,free
card_000008,u_00007,2023-02-04T00:00:00,virtual,active,free
card_000009,u_00008,2023-04-07T00:00:00,virtual,blocked,free
card_000010,u_00009,2023-08-27T00:00:00,virtual,cancelled,metal
card_000011,u_00009,2023-08-31T00:00:00,physical,cancelled,metal
card_000012,u_00010,2024-08-01T00:00:00,virtual,cancelled,smart
card_000013,u_00011,2024-10-29T00:00:00,virtual,active,free
card_000014,u_00012,2023-08-16T00:00:00,virtual,active,free
card_000015,u_00013,2024-08-30T00:00:00,virtual,active,metal
card_000016,u_00013,2024-08-28T00:00:00,physical,cancelled,metal
card_000017,u_00014,2023-01-07T00:00:00,virtual,active,free
card_000018,u_00015,2024-03-11T00:00:00,virtual,active,free
card_000019,u_00016,2023-10-12T00:00:00,virtual,active,smart
card_000020,u_00017,2023-08-13T00:00:00,virtual,blocked,free
card_000021,u_00018,2023-04-16T00:00:00,virtual,active,smart
card_000022,u_00018,2023-04-17T00:00:00,physical,active,smart
card_000023,u_00019,2024-01-25T00:00:00,virtual,active,smart
card_000024,u_00019,2024-01-30T00:00:00,physical,active,smart
card_000025,u_00020,2024-01-05T00:00:00,virtual,cancelled,free
card_000026,u_00021,2024-09-14T00:00:00,virtual,active,free
card_000027,u_00022,2023-02-16T00:00:00,virtual,active,smart
card_000028,u_00023,2024-07-03T00:00:00,virtual,active,free
card_000029,u_00024,2024-01-27T00:00:00,virtual,active,smart
card_000030,u_00025,2024-07-19T00:00:00,virtual,active,free
card_000031,u_00026,2024-10-10T00:00:00,virtual,active,free
card_000032,u_00027,2024-08-19T00:00:00,virtual,blocked,free
card_000033,u_00028,2023-03-18T00:00:00,virtual,active,free
card_000034,u_00029,2024-11-13T00:00:00,virtual,blocked,free
card_000035,u_00030,2023-10-27T00:00:00,virtual,blocked,smart
card_000036,u_00030,2023-10-27T00:00:00,physical,active,smart
card_000037,u_00031,2023-08-27T00:00:00,virtual,active,free
card_000038,u_00032,2024-01-28T00:00:00,virtual,active,smart
card_000039,u_00033,2024-04-10T00:00:00,virtual,active,free
card_000040,u_00034,2023-06-16T00:00:00,virtual,active,metal
card_000041,u_00035,2024-01-01T00:00:00,virtual,active,free
card_000042,u_00036,2024-11-22T00:00:00,virtual,active,free
card_000043,u_00037,2024-12-04T00:00:00,virtual,active,free
card_000044,u_00038,2024-09-19T00:00:00,virtual,active,metal
card_000045,u_00039,2024-07-03T00:00:00,virtual,active,metal
card_000046,u_00040,2023-06-22T00:00:00,virtual,active,free
card_000047,u_00041,2024-01-27T00:00:00,virtual,active,free
card_000048,u_00042,2024-10-19T00:00:00,virtual,active,free
card_000049,u_00043,2023-12-03T00:00:00,virtual,active,smart
card_000050,u_00043,2023-12-01T00:00:00,physical,cancelled,smart
card_000051,u_00044,2023-08-27T00:00:00,virtual,active,free
card_000052,u_00045,2023-11-22T00:00:00,virtual,active,metal
card_000053,u_00045,2023-11-22T00:00:00,physical,active,metal
card_000054,u_00046,2023-10-05T00:00:00,virtual,blocked,metal
card_000055,u_00046,2023-10-06T00:00:00,physical,blocked,metal
card_000056,u_00047,2023-08-09T00:00:00,virtual,active,smart
card_000057,u_00047,2023-08-07T00:00:00,physical,active,smart
card_000058,u_00048,2023-08-11T00:00:00,virtual,active,free
card_000059,u_00049,2024-02-13T00:00:00,virtual,blocked,free
card_000060,u_00050,2023-06-01T00:00:00,virtual,active,smart
card_000061,u_00051,2023-05-28T00:00:00,virtual,active,free
card_000062,u_00052,2024-08-02T00:00:00,virtual,active,free
card_000063,u_00053,2024-08-26T00:00:00,virtual,active,free
card_000064,u_00054,2024-08-25T00:00:00,virtual,active,smart
card_000065,u_00054,2024-08-22T00:00:00,physical,active,smart
card_000066,u_00055,2024-01-06T00:00:00,virtual,cancelled,free
card_000067,u_00056,2023-05-25T00:00:00,virtual,active,free
card_000068,u_00057,2023-04-07T00:00:00,virtual,active,metal
card_000069,u_00057,2023-04-06T00:00:00,physical,active,metal
card_000070,u_00058,2023-04-23T00:00:00,virtual,active,smart
card_000071,u_00058,2023-04-24T00:00:00,physical,cancelled,smart
card_000072,u_00059,2024-10-09T00:00:00,virtual,active,free
card_000073,u_00060,2024-11-28T00:00:00,virtual,active,free
card_000074,u_00061,2024-09-04T00:00:00,virtual,active,metal
card_000075,u_00061,2024-09-02T00:00:00,physical,active,metal
card_000076,u_00062,2024-02-02T00:00:00,virtual,active,free
card_000077,u_00063,2024-09-04T00:00:00,virtual,active,free
card_000078,u_00064,2024-06-29T00:00:00,virtual,active,free
card_000079,u_00065,2024-07-23T00:00:00,virtual,active,free
card_000080,u_00066,2024-12-02T00:00:00,virtual,active,free
card_000081,u_00067,2024-11-30T00:00:00,virtual,active,smart
card_000082,u_00068,2024-10-21T00:00:00,virtual,active,smart
card_000083,u_00068,2024-10-18T00:00:00,physical,active,smart
card_000084,u_00069,2023-04-29T00:00:00,virtual,active,free
card_000085,u_00070,2024-03-25T00:00:00,virtual,active,smart
card_000086,u_00070,2024-03-23T00:00:00,physical,active,smart
card_000087,u_00071,2024-04-10T00:00:00,virtual,active,free
card_000088,u_00072,2023-10-02T00:00:00,virtual,active,free
card_000089,u_00073,2024-06-03T00:00:00,virtual,active,free
card_000090,u_00074,2024-10-07T00:00:00,virtual,active,free
card_000091,u_00075,2024-10-19T00:00:00,virtual,active,free
card_000092,u_00076,2023-06-09T00:00:00,virtual,active,free
card_000093,u_00077,2023-06-15T00:00:00,virtual,active,free
card_000094,u_00078,2024-09-05T00:00:00,virtual,active,free
card_000095,u_00079,2024-05-16T00:00:00,virtual,active,smart
card_000096,u_00079,2024-05-19T00:00:00,physical,cancelled,smart
card_000097,u_00080,2023-04-27T00:00:00,virtual,active,free
card_000098,u_00081,2023-11-16T00:00:00,virtual,active,smart
card_000099,u_00082,2023-03-02T00:00:00,virtual,active,free
card_000100,u_00083,2024-08-03T00:00:00,virtual,active,free
card_000101,u_00084,2023-04-02T00:00:00,virtual,active,free
card_000102,u_00085,2023-03-12T00:00:00,virtual,active,free
card_000103,u_00086,2023-05-16T00:00:00,virtual,active,free
card_000104,u_00087,2024-07-20T00:00:00,virtual,active,free
card_000105,u_00088,2023-10-02T00:00:00,virtual,active,free
card_000106,u_00089,2023-08-10T00:00:00,virtual,active,free
card_000107,u_00090,2023-11-17T00:00:00,virtual,active,metal
card_000108,u_00090,2023-11-20T00:00:00,physical,blocked,metal
card_000109,u_00091,2024-11-23T00:00:00,virtual,blocked,free
card_000110,u_00092,2024-03-28T00:00:00,virtual,active,metal
card_000111,u_00093,2023-05-09T00:00:00,virtual,active,free
card_000112,u_00094,2023-08-20T00:00:00,virtual,active,free
card_000113,u_00095,2023-12-17T00:00:00,virtual,blocked,smart
card_000114,u_00095,2023-12-17T00:00:00,physical,cancelled,smart
card_000115,u_00096,2024-08-27T00:00:00,virtual,active,free
card_000116,u_00097,2024-08-27T00:00:00,virtual,active,free
card_000117,u_00098,2023-01-09T00:00:00,virtual,active,metal
card_000118,u_00099,2024-10-12T00:00:00,virtual,active,free
card_000119,u_00100,2023-08-28T00:00:00,virtual,blocked,smart
card_000120,u_00101,2023-02-07T00:00:00,virtual,active,free
